산이름,장소유형,장소명,카테고리,주소,전화번호,산으로부터거리(m),도보시간(분),장소위도,장소경도,카카오지도URL,블로그언급수,맛집점수
진악산,음식점,임사부냉면&국밥,음식점 > 한식,충남 금산군 금산읍 비호로 92,041-751-0201,223,3,36.10614637069261,127.4925732864019,http://place.map.kakao.com/899447870,1091,83.4
팔공산,음식점,고향식당,"음식점 > 한식 > 육류,고기",대구 동구 팔공산로185길 63,053-982-1755,363,5,35.9893947631237,128.694258547501,http://place.map.kakao.com/8666100,212,83.3
진악산,음식점,금오식당,"음식점 > 한식 > 사철탕,영양탕",충남 금산군 금산읍 후곤천길 92,041-754-9288,388,5,36.1045713967849,127.492052601283,http://place.map.kakao.com/16116999,212,83.3
광교산,음식점,큰집막창 북문점,"음식점 > 한식 > 육류,고기 > 곱창,막창",경기 수원시 장안구 팔달로 277,031-252-9289,179,2,37.28989758723986,127.01498546244673,http://place.map.kakao.com/1096195961,206,83.2
청계산,음식점,앵두나무집,음식점 > 한식,경기 성남시 수정구 옛골로 50,031-723-8660,1367,18,37.4254658446482,127.067664432687,http://place.map.kakao.com/9240044,18227,83.0
광교산,음식점,북문숯불갈비,"음식점 > 한식 > 육류,고기 > 갈비",경기 수원시 장안구 팔달로 294,031-242-0005,76,1,37.29058937300272,127.0165723499906,http://place.map.kakao.com/750267782,195,82.9
천마산,음식점,서종육회,"음식점 > 한식 > 육류,고기",경기 양평군 서종면 당목뿌리길 4-1,031-774-7888,740,10,37.6048071993921,127.348876061575,http://place.map.kakao.com/1473812650,608,82.8
화성 화산,음식점,산골추어탕,"음식점 > 한식 > 해물,생선 > 추어",경기 화성시 효행구 정남면 세자로 285-29,031-353-9935,612,8,37.1910735756631,126.978974742148,http://place.map.kakao.com/1495013145,598,82.8
진악산,음식점,동궁찜닭 금산점,"음식점 > 한식 > 육류,고기 > 닭요리 > 동궁찜닭",충남 금산군 금산읍 비호로 97,041-751-7330,169,2,36.10633761271463,127.49318529614794,http://place.map.kakao.com/1972281637,187,82.7
가야산(서산),카페,카페 제로플레이스,음식점 > 카페 > 커피전문점,충남 서산시 해미면 일락골길 367-19,0507-1441-5583,397,5,36.7241794103207,126.5761358057,http://place.map.kakao.com/1465606268,187,82.7
광교산,음식점,원조삼계탕,"음식점 > 한식 > 육류,고기 > 닭요리 > 삼계탕",경기 수원시 장안구 팔달로291번길 22,031-253-5433,207,3,37.29154189111532,127.01568500506735,http://place.map.kakao.com/11253249,179,82.6
안성 칠현산,음식점,송탄명가부대찌개,"음식점 > 한식 > 찌개,전골",경기 안성시 보개면 서동대로 5877,031-675-1623,1459,19,37.0283172481273,127.338106397485,http://place.map.kakao.com/415302271,1819,82.6
간월산,음식점,만세칼국수밀면,음식점 > 한식 > 국수 > 칼국수,울산 울주군 상북면 상북로 271,052-212-2772,637,8,35.58931110802038,129.09115865850194,http://place.map.kakao.com/1043423873,549,82.4
두륜산,음식점,안흥찐빵만두,음식점 > 분식,전남 해남군 삼산면 대흥사길 142-1,061-536-7784,545,7,34.4969995699146,126.618800528497,http://place.map.kakao.com/1221559044,2766,82.4
봉화 문수산,음식점,울릉도순대국밥,음식점 > 한식 > 국밥,경북 봉화군 춘양면 의양로 30,0502-5552-1986,1040,14,36.9386679683516,128.914646831663,http://place.map.kakao.com/17540138,1645,82.2
간월산,음식점,가지산돌짜장,음식점 > 중식 > 중국요리,울산 울주군 상북면 웃궁평길 6-4,052-264-8869,1451,19,35.5963111778502,129.086982925083,http://place.map.kakao.com/219193274,1658,82.2
함백산,음식점,밥상머리,"음식점 > 한식 > 육류,고기 > 닭요리",강원특별자치도 정선군 고한읍 함백산로 1103,033-591-2030,697,9,37.1591752593648,128.900681838929,http://place.map.kakao.com/18131573,511,82.1
광교산,카페,팔레센트,음식점 > 카페 > 커피전문점,경기 수원시 팔달구 정조로 904-1,010-9801-1215,241,3,37.288717249517,127.014807047593,http://place.map.kakao.com/1129511873,162,82.1
천마산,음식점,문호리팥죽 본점,음식점 > 한식 > 죽,경기 양평군 서종면 북한강로 641,031-774-5969,411,5,37.595561730233065,127.35024378221212,http://place.map.kakao.com/7881728,163,82.1
천마산(전남),음식점,정담은고기식당,"음식점 > 한식 > 육류,고기",전남 순천시 해룡면 신대로 45,061-721-1158,1663,22,34.9279130073415,127.548293145474,http://place.map.kakao.com/951646182,12462,82.0
천마산(전남),카페,커피볶는날,음식점 > 카페 > 커피전문점,전남 순천시 팔마4길 13,061-726-2722,1930,26,34.933698979251915,127.51640300299209,http://place.map.kakao.com/12341677,68816,82.0
용봉산,음식점,홍성구항한우,"음식점 > 한식 > 육류,고기",충남 홍성군 구항면 구항길 99,041-633-0243,1926,26,36.5876805070241,126.609731511709,http://place.map.kakao.com/10975307,19555,82.0
영인산,음식점,찐수육국밥,음식점 > 한식 > 국밥,충남 아산시 음봉면 충무로 647,041-542-1239,1746,23,36.8366268975054,127.010959426497,http://place.map.kakao.com/370748650,95298,82.0
천마산(전남),음식점,하루,"음식점 > 한식 > 해물,생선 > 회",전남 순천시 해룡면 신대로 47,061-724-7955,1654,22,34.9280255453993,127.54812315883,http://place.map.kakao.com/1220320997,15280,82.0
팔공산,음식점,팔공산떡볶이,음식점 > 분식 > 떡볶이,대구 동구 팔공산로 1183,053-984-0803,415,6,35.98848917417261,128.69406510073355,http://place.map.kakao.com/1322995320,158,82.0
주왕산,카페,사과와커피이야기,음식점 > 카페 > 커피전문점,경북 청송군 주왕산면 주왕산로 697-8,0502-5553-5755,1834,24,36.383544953747425,129.13115028663347,http://place.map.kakao.com/1776590278,84873,82.0
거제 가라산,음식점,거제왕새우굴구이,"음식점 > 한식 > 해물,생선",경남 거제시 거제면 읍내로 10,0502-5553-2258,1965,26,34.8479245909516,128.594058710698,http://place.map.kakao.com/2115735865,21587,82.0
청계산,음식점,테라스,"음식점 > 술집 > 호프,요리주점",경기 성남시 수정구 달래내로377번길 21,0507-1467-0254,1578,21,37.4262482146965,127.070261384423,http://place.map.kakao.com/2106375994,17887,82.0
광덕산,음식점,엄마손한식뷔페,음식점 > 뷔페 > 한식뷔페,충남 천안시 동남구 성남면 석곡1길 15,041-552-8914,1985,26,36.7399347890831,127.221309175444,http://place.map.kakao.com/1843783256,19158,82.0
화성 화산,음식점,백세칼돈집,음식점 > 한식 > 국수 > 칼국수,경기 화성시 효행구 정남면 세자로 277,031-352-2335,712,9,37.19187207154425,126.97991271573838,http://place.map.kakao.com/1023089243,487,81.9
화성 화산,음식점,사계절가든,"음식점 > 한식 > 육류,고기 > 오리",경기 화성시 효행구 정남면 보통내길17번길 36-6,031-8059-5611,806,11,37.180237901264626,126.97218278742815,http://place.map.kakao.com/1538654736,480,81.8
진악산,음식점,튀김집,"음식점 > 한식 > 육류,고기 > 족발,보쌈",충남 금산군 금산읍 비호로 84,010-9569-2050,260,3,36.106356531075505,127.49187160484726,http://place.map.kakao.com/2097129246,146,81.7
광교산,음식점,북문닭발,"음식점 > 한식 > 육류,고기 > 닭요리",경기 수원시 장안구 팔달로 294,031-243-1777,77,1,37.29061820068812,127.01661182773003,http://place.map.kakao.com/10451940,147,81.7
광교산,음식점,사강갈비,"음식점 > 한식 > 육류,고기 > 갈비",경기 수원시 장안구 팔달로 301,031-256-7433,147,2,37.2913209471474,127.017056321743,http://place.map.kakao.com/8377559,146,81.7
광교산,카페,버트,음식점 > 카페 > 테마카페 > 디저트카페,경기 수원시 팔달구 정조로900번길 13,0503-7151-1841,267,4,37.28794227431343,127.01544969318452,http://place.map.kakao.com/252363978,142,81.6
천마산,카페,라온드뷰,음식점 > 카페,경기 양평군 서종면 하문호나룻터길 17-4,031-772-7088,891,12,37.60553617001867,127.34701765812251,http://place.map.kakao.com/74804107,2191,81.4
천마산,음식점,굽네치킨 양평문호점,음식점 > 치킨 > 굽네치킨,경기 양평군 서종면 북한강로 775,031-774-9913,898,12,37.6063559154471,127.348902547312,http://place.map.kakao.com/69084158,437,81.4
천마산,카페,설빙 경기남양주북한강점,음식점 > 카페 > 테마카페 > 디저트카페 > 설빙,경기 남양주시 조안면 북한강로855번길 6-8,0507-1444-9302,1430,19,37.5937317759104,127.337582797679,http://place.map.kakao.com/1531334180,1333,81.3
청계산,음식점,청계냇가집,"음식점 > 한식 > 육류,고기 > 닭요리",경기 성남시 수정구 옛골로 58,031-723-8994,1270,17,37.42506466922316,127.06646877714483,http://place.map.kakao.com/8089730,1343,81.3
천마산(전남),음식점,여기다중식당,음식점 > 중식 > 중국요리,전남 순천시 해룡면 월전안길 13,061-725-3336,1097,15,34.9134472897047,127.53829166417,http://place.map.kakao.com/639571543,1361,81.3
진악산,카페,빽다방 충남금산점,음식점 > 카페 > 커피전문점 > 빽다방,충남 금산군 금산읍 비단로 319,041-754-5100,649,9,36.10993282818321,127.48782901538516,http://place.map.kakao.com/361070385,422,81.3
거제 가라산,음식점,계룡산숯불갈비,"음식점 > 한식 > 육류,고기 > 갈비",경남 거제시 거제면 거제남서로 3402,0502-5551-0915,1920,26,34.84756491185606,128.59227522488857,http://place.map.kakao.com/1976926739,8295,81.2
용봉산,음식점,춤추는도너츠 나눠주는꽈배기,음식점 > 간식 > 도넛,충남 홍성군 홍성읍 내포로 258,010-6661-6544,1352,18,36.5906188512149,126.642691284333,http://place.map.kakao.com/379031438,1332,81.2
백암산,음식점,호수장가든,"음식점 > 한식 > 해물,생선 > 매운탕,해물탕",전북특별자치도 정읍시 내장산로 528,063-536-4111,210,3,35.5182548935226,126.90492109840945,http://place.map.kakao.com/23965136,131,81.2
진악산,카페,공차 충남금산점,음식점 > 카페 > 공차,충남 금산군 금산읍 비단로 315,041-751-0475,624,8,36.10989112143398,127.4881119667049,http://place.map.kakao.com/512147671,412,81.2
금원산,음식점,농월초계탕막국수,"음식점 > 한식 > 육류,고기 > 닭요리",경남 함양군 안의면 육십령로 3102,055-962-4945,371,5,35.6225391223379,127.782998081651,http://place.map.kakao.com/12523903,129,81.1
추월산,음식점,소문난오리전골,"음식점 > 한식 > 육류,고기 > 오리",전남 담양군 창평면 창평로 612,061-381-9293,1869,25,35.236725839160144,127.01501134617483,http://place.map.kakao.com/1947753537,8114,81.1
천마산,음식점,경백식당,"음식점 > 한식 > 육류,고기",경기 양평군 서종면 무내미길 49-3,031-771-6469,513,7,37.60339790402001,127.3519622122265,http://place.map.kakao.com/681555127,396,81.0
추월산,음식점,벽오동,음식점 > 한식 > 한정식,전남 담양군 창평면 의병로 41,061-382-6665,1318,18,35.231444514700236,127.00923867384476,http://place.map.kakao.com/25450488,1224,80.9
천마산(전남),음식점,오늘통닭 신대점,음식점 > 치킨 > 오늘통닭,전남 순천시 해룡면 신대로 97,061-727-1977,1739,23,34.9314694141278,127.54658968171,http://place.map.kakao.com/927111773,7801,80.9
통영 벽방산,카페,통영동백커피식물원,음식점 > 카페 > 테마카페,경남 통영시 도산면 남해안대로 2068-87,055-645-9634,1565,21,34.93539471763866,128.35674327498293,http://place.map.kakao.com/943306469,7555,80.8
두륜산,음식점,팔도강산,음식점 > 한식 > 두부전문점,전남 해남군 삼산면 대흥사길 88-30,061-533-6007,711,9,34.4969818861768,126.62356412015,http://place.map.kakao.com/10888187,377,80.8
진악산,카페,제일다방,음식점 > 카페 > 다방,충남 금산군 금산읍 인삼로 105,041-751-8385,556,7,36.1025763203854,127.49331948064,http://place.map.kakao.com/2133629347,352,80.5
용문산,음식점,메밀촌 두부마을,음식점 > 한식,경기 양평군 용문면 용문산로 514,031-773-4247,462,6,37.5369250214852,127.591589097005,http://place.map.kakao.com/1729312041,563,80.5
천마산,카페,에딧의커피스토리,음식점 > 카페 > 커피전문점,경기 양평군 서종면 북한강로 690-1,031-772-8380,60,1,37.599326100573,127.35264851079,http://place.map.kakao.com/1727687425,105,80.3
가지산,음식점,서해안해물짬뽕,음식점 > 중식 > 중국요리,울산 울주군 상북면 운문로 43,052-264-9300,1595,21,35.6208777033675,129.048838534155,http://place.map.kakao.com/302711910,6457,80.1
가평 강씨봉,음식점,양지촌,"음식점 > 한식 > 육류,고기 > 닭요리",강원특별자치도 춘천시 남산면 서천길 145,033-263-1201,768,10,37.8442798056033,127.545369065298,http://place.map.kakao.com/27270356,321,80.1
백운산(광양),음식점,만지횟집,"음식점 > 한식 > 해물,생선",경남 하동군 하동읍 섬진강대로 2485,055-883-2020,316,4,35.0867426403276,127.72155453334,http://place.map.kakao.com/10341007,102,80.1
천마산,카페,카페대너리스 북한강지점,음식점 > 카페,경기 남양주시 조안면 북한강로 914,031-521-9700,1193,16,37.597502696792354,127.3390537905512,http://place.map.kakao.com/1012506923,5184,80.1
천마산,카페,커피의정원,음식점 > 카페 > 커피전문점,경기 양평군 서종면 무내미길 63,,638,9,37.604491861298875,127.35160610826443,http://place.map.kakao.com/8103048,15787,80.0
진악산,카페,온더블룸,음식점 > 카페 > 테마카페 > 디저트카페,충남 금산군 금산읍 비단로 326-11,,761,10,36.1110800031678,127.487179720645,http://place.map.kakao.com/206649557,19093,80.0
두륜산,카페,커피랑,음식점 > 카페 > 커피전문점,전남 해남군 삼산면 대흥사길 170,,695,9,34.4957648444552,126.617154458717,http://place.map.kakao.com/21540490,22392,80.0
진악산,카페,새금산다방,음식점 > 카페 > 다방,충남 금산군 금산읍 건삼전1길 20-16,,778,10,36.1006441352825,127.492661094069,http://place.map.kakao.com/152807827,32365,80.0
월악산,음식점,월악산영봉가든,음식점 > 한식,충북 제천시 한수면 미륵송계로 1360,043-651-8324,558,7,36.864162184853,128.087978115529,http://place.map.kakao.com/1411138709,1543,79.9
화성 화산,음식점,보통나루,"음식점 > 한식 > 해물,생선 > 장어",경기 화성시 효행구 정남면 세자로303번길 15-3,031-354-9253,846,11,37.19320618090465,126.97794358238141,http://place.map.kakao.com/950052023,307,79.9
진악산,카페,달리는커피 금산읍점,음식점 > 카페 > 커피전문점 > 달리는커피,충남 금산군 금산읍 금산천1길 71,041-751-5056,757,10,36.1020845354404,127.489296344132,http://place.map.kakao.com/1519684469,311,79.9
광교산,카페,커피거기,음식점 > 카페 > 커피전문점,경기 수원시 장안구 팔달로 310,,197,3,37.29152802733029,127.01812323733814,http://place.map.kakao.com/18856914,2998,79.8
백운산(광양),음식점,하옹,"음식점 > 한식 > 해물,생선",경남 하동군 하동읍 섬진강대로 2578,055-882-3457,954,13,35.091748964217,127.713286188168,http://place.map.kakao.com/23641755,296,79.7
천마산,카페,카페로이테,음식점 > 카페,경기 남양주시 조안면 북한강로 866,031-577-2111,1390,19,37.5932186301245,127.338381015946,http://place.map.kakao.com/1884726077,4663,79.7
